User ID,Star Spend,Collection Power,Gold,Green Stones,Purple Stones,Max Normal Constellation,Max Raid Constellation
8432041273,0,90,14510,4550,2000,constellation6,
8435074069,0,4,2970,1350,0,constellation3,
8439444607,0,56,3810,2150,0,constellation4,
8443600104,0,3,2150,550,0,constellation2,
8447753108,0,29,4150,2550,0,constellation4,
8448418389,0,28,2150,820,0,constellation2,
845129206,0,0,1150,550,0,constellation1,
845608227,0,122,14950,6170,2470,constellation6,
8457483143,0,4,2150,610,0,constellation2,
8463077378,0,4,2150,630,0,constellation2,
8465149946,0,26,6150,3550,1000,constellation5,
846674405,0,94,44350,11550,5300,constellation9,
846780644,0,4,3150,1550,0,constellation3,
8469451439,0,9,4150,1990,0,constellation4,
8474824502,0,18,2150,650,0,constellation2,
8479372631,0,0,1150,550,0,constellation1,
8479498684,0,20,2840,750,0,constellation3,
848113305,0,77,12480,3860,2000,constellation6,
8484640580,0,57,4080,2550,0,constellation4,
8487354542,0,155,35590,8550,4300,constellation9,
8488348061,0,8,2150,640,0,constellation2,
8488633459,0,4,2350,1120,0,constellation2,
8494797751,0,67,8150,960,0,constellation6,
8496561670,0,4,2150,680,0,constellation2,
8501555754,0,111,37150,9550,7300,constellation9,
8502051271,0,158,22150,6550,3000,constellation7,
8504473087,0,16,2150,680,0,constellation2,
850465040,0,156,133170,30530,11740,constellation9,
8505841636,0,0,1150,550,0,constellation1,
8508255387,0,168,68730,19550,8240,constellation9,
8514285163,0,6,2150,660,0,constellation2,
8516713761,0,4,2150,870,0,constellation2,
8521418980,0,0,1150,550,0,constellation1,
852413623,0,4,2540,630,0,constellation2,
8525157807,0,3,2150,650,0,constellation2,
8527456601,0,4,2150,680,0,constellation2,
852795130,0,3,2150,620,0,constellation2,
8528540058,0,110,32630,11230,5100,constellation9,
8530978913,0,13,8150,660,0,constellation6,
8532113073,0,193,255020,56320,11440,constellation9,
8539210183,0,15,1150,550,0,constellation1,
8557446616,0,17,2150,1470,0,constellation2,
8564704714,0,79,44150,13550,6200,constellation9,
8567376837,0,9,2150,890,0,constellation2,
8568423451,0,4,2310,650,0,constellation2,
8569774554,0,4,3890,720,0,constellation4,
8580699620,0,16,2600,660,0,constellation2,
8580787931,0,17,2510,810,0,constellation2,
8581002498,0,4,2150,660,0,constellation2,
8582165914,0,3,2150,590,0,constellation2,
859506220,0,185,123580,41600,13840,constellation9,
8598007603,0,16,2710,1760,0,constellation3,
860044562,0,37,2760,1550,0,constellation3,
