Rank,Username,Score,PurpleStones,Cards rare,Cards epic,Cards legendary,NFT,PIXEL,USD (ref.),userId
86,Natlam85,12352689.65,332008,483,413,104,1.3,-,-,5092276545
87,Matviy123q,12257470.6,197510,1376,880,209,-,-,-,5478832646
88,7118747854,12081728.12,172942,1611,995,229,-,-,-,7118747854
89,UpViewMarketing,11957400,146000,1219,897,229,1.3,-,-,730151615
90,Artem000_07,11798820,198000,1072,899,209,-,-,-,6367466725
91,naimstav,11550814.8,255832,845,640,165,-,-,-,119472428
92,snow_hello,11430720,240000,929,560,126,1.2,-,-,7396023964
93,hiimkat,11320539.48,153063,1763,1041,241,-,-,-,256562490
94,7617055114,11207038.4,235640,1082,658,160,-,-,-,7617055114
95,Gondurapsina,11126774.75,309550,491,388,101,1.3,-,-,350450110
96,ZVV2411,10854385.06,347496,520,331,99,1.2,-,-,6200382100
97,7660393399,10623662.8,222952,1103,644,163,-,-,-,7660393399
98,A_O_A_07,10416370.64,278990,457,395,113,1.3,-,-,1829612750
99,Vladimir_crypta,10227627.84,351320,570,342,73,1.2,-,-,6234324905
100,yanahrybava,10026654,258000,822,517,106,1.1,-,-,1667587222
101,sitofitness,10000952,148000,1194,708,178,1.3,-,-,506769695
102,Artyrios,9717537.28,162392,1429,865,186,-,-,-,483069179
103,thesemenko,8428845.88,267260,458,336,86,1.3,-,-,488633056
104,skaydaulov,8296561,157430,1267,711,177,-,-,-,446493264
105,TakeMyEnerGy13,7980167.94,242824,436,364,90,1.3,-,-,1348477787
106,dondon_coin,7930864.66,105039,1469,891,205,1.2,-,-,5387693655
107,Iq753,7840495.08,245445,517,399,109,1.1,-,-,1638785247
108,AleksiDemon,7640687.87,134146,1178,760,162,1.1,-,-,1127433411
109,NazarKaleniuk,7454200,122000,1324,882,204,-,-,-,8400749520
110,trideniz,7078949.15,210245,579,496,120,-,-,-,7049624393
111,Freeda_Free,6792880,218000,654,414,112,-,-,-,6568184487
112,weizob,6418853.1,216123,587,421,102,-,-,-,7183935425
113,runnerforest,6015024.4,169820,883,523,99,-,-,-,1706902193
114,gusobnim,5465046.05,145824,792,495,103,1.1,-,-,1472237454
115,MannyAntoni,5220198.86,106674,761,639,130,1.2,-,-,6345955249
116,mariyaogi,4722725.8,362200,183,150,27,1.3,-,-,821631231
117,impazik,4657753.1,342860,185,120,40,1.3,-,-,815473191
118,Nohhyunjun,4454968.32,255680,261,207,47,1.2,-,-,5063531786
119,manrey33,4225723.59,130710,648,397,100,1.1,-,-,2031054289
120,redexed,3910957.05,140910,378,309,73,1.3,-,-,405670923
121,arith3d,3786353.69,133468,569,350,86,1.1,-,-,451022239
122,LisovskiArch,3677110.74,77234,887,708,165,-,-,-,349242428
123,Liza_Podavan,3218445,347940,154,127,29,-,-,-,7905402865
124,vvvstan,2893462,66440,964,617,144,-,-,-,871928502
125,Jonii42cm,2154168.4,286840,153,96,21,-,-,-,7271712322
126,VitosVo,2079402,159000,162,148,30,1.3,-,-,1838223811
127,TheSwoleHermit,1784978.62,46576,517,407,111,1.3,-,-,633851641
128,Mikhaill_Freeman,1598487.7,133944,130,116,34,1.3,-,-,988810706
129,liprik0n,1582812.14,90524,283,194,38,1.3,-,-,449360979
130,Kgogu9,1375480,251000,102,62,16,-,-,-,743348433
131,Novator_bit,965610.1,36590,587,354,89,-,-,-,452068443
132,Vladimir_2007S,728871.7,29862,338,282,75,1.2,-,-,531532916
133,GekaDS,492306.82,36239,240,165,40,1.1,-,-,841654608
134,nYarkz18,489109.94,24730,399,273,48,1.1,-,-,5591072966
135,crazik73,412720,70000,128,66,11,1.1,-,-,1532308789
136,Mutadeny,366460,146000,32,23,5,-,-,-,1346376160
137,KIG6060,340454.16,49774,149,75,21,-,-,-,517400935
138,yadoo0304,259585.24,19673,218,139,28,1.3,-,-,1671692924
139,dominoshka_1980,248376.46,20578,259,166,35,-,-,-,1201853658
140,BigboyPelayo,216373.7,16928,275,159,31,1.1,-,-,7039478002
141,7922698433,206403,32100,136,69,20,-,-,-,7922698433
142,Pr1nstream,189465.9,13130,348,175,47,-,-,-,8154683521
143,AigaIscenko,154960,16000,129,92,24,1.3,-,-,1712114382
144,7957438831,106315.04,12640,127,80,18,1.3,-,-,7957438831
145,choypayatot,97188.04,12476,140,123,17,-,-,-,1857394009
146,Giniphg,89880,12000,161,86,23,-,-,-,7219031801
147,vitaliyrtrk,87660,18000,96,57,12,-,-,-,520639515
148,1971445964,61406.48,10792,114,65,16,-,-,-,1971445964
149,Mdbhai1234,30987.6,6510,114,64,7,-,-,-,1966813902
150,jant03,29606.85,4095,160,91,19,-,-,-,5009998565
151,wasapok1111,27640,4000,150,87,18,-,-,-,1736242159
152,logologo91,19380,6000,67,32,6,-,-,-,7458349978
153,fearmel,18427.64,3860,74,50,11,1.1,-,-,2311763
154,Oddventurer,16099.2,2880,108,67,15,-,-,-,2035602743
155,poIlos,8923.2,1600,109,66,10,1.1,-,-,408320257
156,7984896899,0,0,120,96,24,-,-,-,7984896899
157,6388230137,0,0,107,90,23,1.3,-,-,6388230137
158,Aziat_Dikiy,0,0,119,78,23,-,-,-,1126565403
159,BestLyubov,0,0,108,88,19,-,-,-,5091197605
160,OlgaKone76,0,0,121,76,18,1.3,-,-,5188417924
161,LeoBroncos,0,0,82,73,10,1.3,-,-,579515680
162,Gofard,0,0,82,41,12,-,-,-,239905608
163,Maks_G7,0,0,66,51,13,-,-,-,1816011478
164,Benssoonn,0,0,11,9,0,1.1,-,-,784567003
165,dastxrd,0,0,0,0,0,-,-,-,1761505662
166,niceneys,0,0,0,0,0,1.2,-,-,347194109
167,philipp13,0,0,0,0,0,-,-,-,974362731
168,miguelaamigo,0,0,0,0,0,-,-,-,953057469
169,TwinTBeast,0,0,0,0,0,1.1,-,-,316218079
170,Aleks_pion_3,0,0,0,0,0,1.1,-,-,372099716
171,torChun21,0,0,0,0,0,1.1,-,-,885707952
172,purple_oo,0,0,0,0,0,-,-,-,114723630
173,deerbyy,0,0,0,0,0,-,-,-,874109198
174,AlekseiMatwur127,0,0,0,0,0,-,-,-,1030139836
175,SpecialSeeker2K,0,0,0,0,0,-,-,-,8367110007
176,tongread,0,0,0,0,0,1.1,-,-,821419354
177,TimkaXx,0,0,0,0,0,-,-,-,795236055
178,7879595104,0,0,0,0,0,-,-,-,7879595104
179,ganja774,0,0,0,0,0,-,-,-,763808688
180,stfk17,0,0,0,0,0,-,-,-,470008933
181,ZappZaddy,0,0,0,0,0,-,-,-,2109055786
182,fxssue,0,0,0,0,0,-,-,-,5108673347
183,Cosmos_up,0,0,0,0,0,-,-,-,5344776090
184,Encoridge,0,0,0,0,0,-,-,-,197240679
185,densmall,0,0,0,0,0,-,-,-,653447792
186,nwnow,0,0,0,0,0,-,-,-,5901144647
